name,prompt,negative_prompt,description,category
ACCESSORY_SFW_Bag,"(bag:1.2), handbag, shoulder bag, school bag, backpack, stylish purse",no bag,Bag prop. Combos: OUTFIT_Casual; OUTFIT_School_Uniform; OUTFIT_Business_Suit. Adds realism.,ACCESSORIES
ACCESSORY_SFW_Body_Piercings,"(piercings:1.2), ear piercings, multiple ear piercings, nose ring, industrial piercing, helix piercing, body jewelry, studs and rings","plain ears, no jewelry",Piercings/body jewelry. Combos: OUTFIT_SFW_Streetwear; HAIR_SFW_Undercut; MOOD_SFW_Confident. Adds edge to any archetype.,ACCESSORIES
ACCESSORY_SFW_Crown_Tiara,"(crown:1.3), tiara, royal crown, golden crown, jeweled tiara, diadem, princess crown","commoner, no headpiece",Royal crown. Combos: ARCHETYPE_Demon_Queen; OUTFIT_Evening_Dress; MOOD_Elegant. Universal BODY.,ACCESSORIES
ACCESSORY_SFW_Fantasy_Weapon,"(fantasy weapon:1.3), sword, magic staff, bow and arrow, enchanted blade, battle axe, glowing weapon","no weapons, pacifist, cooking, reading",Fantasy weapon prop. Combos: ARCHETYPE_Warrior; ACTIVITY_Fighting_Pose; MOOD_Fierce. Conflicts: ACTIVITY_Cooking.,ACCESSORIES
ACCESSORY_SFW_Glasses,"(glasses:1.2), eyeglasses, spectacles, thin frame glasses, round glasses, semi-rimless","no glasses, contacts",Glasses accessory. Combos: ARCHETYPE_Office_Lady; ACTIVITY_Reading; MOOD_Mysterious. Universal BODY.,ACCESSORIES
ACCESSORY_SFW_Hat,"(hat:1.2), stylish hat, baseball cap, beret, wide-brim hat, sun hat, fashionable headwear","no hat, bare head",Hat accessory. Combos: OUTFIT_Casual; OUTFIT_Streetwear; SCENE_Beach. Conflicts: ARCHETYPE_Witch (use their specific hat).,ACCESSORIES
ACCESSORY_SFW_Headphones,"(headphones:1.2), over-ear headphones, wireless headphones, music listener, around neck or on ears",no headphones,Headphones. Combos: OUTFIT_Streetwear; ACTIVITY_Gaming; MOOD_Playful. Modern aesthetic.,ACCESSORIES
ACCESSORY_SFW_Jewelry_Elegant,"(elegant jewelry:1.2), necklace, pearl earrings, bracelet, ring, fine jewelry, crystal accessories","no accessories, rough gear",Fine jewelry. Combos: OUTFIT_Evening_Dress; MOOD_Elegant; BODY_Hourglass_Perfect. Conflicts: ARCHETYPE_Warrior.,ACCESSORIES
ACCESSORY_SFW_Katana,"(katana:1.3), japanese sword, sheathed katana, drawn katana, blade, samurai sword, sword at waist","no weapon, magic staff",Katana sword. More specific than Fantasy_Weapon. Combos: ARCHETYPE_SFW_Kunoichi; SCENE_SFW_Japanese_Night; ERA_SFW_Feudal_Japan. Conflicts: ACCESSORY_SFW_Fantasy_Weapon (choose one).,ACCESSORIES
ACCESSORY_SFW_Mask,"(mask:1.2), face mask, kitsune mask, half mask, decorative mask, masquerade mask","bare face, no mask",Mask accessory. Combos: ARCHETYPE_SFW_Kunoichi; ERA_SFW_Victorian; SCENE_SFW_Ballroom.,ACCESSORIES
ACCESSORY_SFW_Respirator,"(respirator mask:1.2), gas mask worn low, cyberpunk respirator, face respirator, techwear mask","bare face, no mask",Cyberpunk/techwear mask. Combos: OUTFIT_SFW_Cyberpunk; SCENE_SFW_Cyberpunk_City; ERA_SFW_Post_Apocalyptic.,ACCESSORIES
ACCESSORY_SFW_Scarf,"(scarf:1.2), cozy scarf, winter scarf, flowing scarf, neck scarf, warm wool scarf","summer, bare neck",Scarf accessory. Combos: SEASON_Winter_Snow; OUTFIT_Winter_Coat; MOOD_Serene. Conflicts: ARCHETYPE_Kunoichi.,ACCESSORIES
ACCESSORY_SFW_Tattoos,"(tattoos:1.2), visible tattoos, arm tattoos, decorated skin, inked, tattoo art on skin","plain skin, no tattoos",Tattoo aesthetic. Combos: OUTFIT_SFW_Streetwear; MOOD_SFW_Confident; BODY_SFW_Muscular_Fit.,ACCESSORIES
